county,arson_x,campfire_x,debris_burning_x,elec._power_x,equip._use_x,ltng._x,misc._x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris_burning_y,elec._power_y,equip._use_y,ltng._y,misc._y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,year_x.1,region_x.1,brush,grass,timber,woodland,other,year_y.1,region_y.1,arson,campfire,debris_burning,equip._use,ltng.,misc.,powerline,p-w-f,rail-road,smoking,undet.,vehicle,year_,region_,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year,region,county_year
E. Trinity,4.0,2.0,7.0,6.0,2.0,13.0,1.0,0.0,0.0,2.0,1.0,2.0,2013.0,north,18.0,22.0,0.0,0.0,0.0,0.0,0.0,2013.0,north,1.0,1.0,5.0,2,2,8.0,1,0.0,0.0,1.0,1,1.0,2013.0,Northern,0.0,5.0,6.0,3.0,9.0,2013.0,north,$0 ,$0 ,$250 ,$0 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,"$2,250 ",$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,E. Trinity_2013
El Dorado,5.0,5.0,66.0,18.0,24.0,4.0,63.0,8.0,0.0,4.0,18.0,21.0,2013.0,north,170.0,59.0,5.0,3.0,0.0,0.0,0.0,2013.0,north,11.0,9.0,32.0,48,164,1.0,8,3.0,0.0,118.0,3,189.0,2013.0,Northern,62.0,371.0,22.0,6.0,125.0,2013.0,north,$0 ,"$20,000 ","$1,200 ","$533,150 ","$217,100 ","$3,200 ","$739,413 ",$0 ,$0 ,"$650,000 ",$0 ,"$4,500 ",2013.0,north,"$19,150 ","$1,016,913 ","$480,500 ","$652,000 ",$0 ,$0 ,$0 ,2013.0,north,El Dorado_2013
Fresno,3.0,0.0,8.0,12.0,10.0,5.0,5.0,2.0,0.0,0.0,15.0,4.0,2013.0,south,16.0,41.0,4.0,3.0,0.0,0.0,0.0,2013.0,south,8.0,0.0,3.0,20,62,105.0,17,1.0,0.0,0.0,279,14.0,2013.0,Southern,4.0,364.0,1.0,0.0,140.0,2013.0,south,"$7,000 ",$0 ,$0 ,"$17,000 ","$11,300 ",$500 ,"$10,000 ",$0 ,$0 ,$0 ,"$12,200 ",$0 ,2013.0,south,"$10,200 ","$15,800 ","$20,000 ","$12,000 ",$0 ,$0 ,$0 ,2013.0,south,Fresno_2013
Glenn,0.0,0.0,1.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,2013.0,north,8.0,5.0,0.0,1.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,217.0,1,2,1.0,0,0.0,0.0,0.0,3,0.0,2013.0,Northern,0.0,223.0,0.0,0.0,1.0,2013.0,north,$0 ,$0 ,"$2,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$0 ,$0 ,"$2,500 ",$0 ,$0 ,$0 ,2013.0,north,Glenn_2013
Humboldt,33.0,10.0,17.0,3.0,6.0,1.0,13.0,3.0,0.0,2.0,57.0,4.0,2013.0,north,70.0,73.0,5.0,1.0,0.0,0.0,0.0,2013.0,north,23.0,7.0,15.0,2,18,0.0,3,3.0,0.0,0.0,138,126.0,2013.0,Northern,12.0,241.0,32.0,1.0,49.0,2013.0,north,$3 ,$0 ,"$4,000 ",$0 ,"$7,500 ",$0 ,"$7,000 ","$5,000 ",$0 ,$0 ,$2 ,"$25,000 ",2013.0,north,"$10,001 ","$11,004 ","$2,500 ","$25,000 ",$0 ,$0 ,$0 ,2013.0,north,Humboldt_2013
Inyo,1.0,0.0,1.0,1.0,0.0,7.0,2.0,0.0,0.0,1.0,8.0,1.0,2013.0,south,15.0,5.0,1.0,0.0,1.0,0.0,0.0,2013.0,south,0.0,0.0,0.0,0,0,9.0,1,0.0,0.0,0.0,21,407.0,2013.0,Southern,11.0,20.0,0.0,0.0,407.0,2013.0,south,$0 ,$0 ,$0 ,"$10,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$350 ,"$50,000 ",2013.0,south,"$10,350 ",$0 ,$0 ,$0 ,"$50,000 ",$0 ,$0 ,2013.0,south,Inyo_2013
Kings,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2013.0,south,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2013.0,south,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,5,0.0,2013.0,Southern,0.0,1.0,0.0,0.0,5.0,2013.0,south,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,south,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,south,Kings_2013
Lake,3.0,3.0,7.0,13.0,6.0,5.0,9.0,1.0,0.0,2.0,26.0,7.0,2013.0,north,36.0,35.0,8.0,2.0,1.0,0.0,0.0,2013.0,north,33.0,1.0,340.0,85,38,3.0,103,0.0,0.0,0.0,130,137.0,2013.0,Northern,532.0,206.0,2.0,2.0,128.0,2013.0,north,$100 ,$0 ,$501 ,"$111,000 ",$600 ,$0 ,"$240,050 ",$0 ,$0 ,$0 ,"$9,050 ","$43,020 ",2013.0,north,"$168,041 ","$110,730 ","$5,000 ","$120,050 ",$500 ,$0 ,$0 ,2013.0,north,Lake_2013
Lassen,1.0,3.0,7.0,0.0,1.0,45.0,2.0,2.0,0.0,1.0,9.0,0.0,2013.0,north,48.0,20.0,3.0,0.0,0.0,0.0,0.0,2013.0,north,1.0,0.0,46.0,0,0,115.0,1,0.0,0.0,3.0,15,0.0,2013.0,Northern,18.0,39.0,9.0,13.0,102.0,2013.0,north,$0 ,$0 ,$2 ,$0 ,$0 ,"$3,772 ",$200 ,$0 ,$0 ,$3 ,"$1,400 ",$0 ,2013.0,north,"$2,452 ",$925 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,2013.0,north,Lassen_2013
Madera,13.0,6.0,7.0,5.0,7.0,3.0,5.0,2.0,0.0,2.0,40.0,12.0,2013.0,south,46.0,43.0,10.0,2.0,1.0,0.0,0.0,2013.0,south,41.0,2.0,1.0,6,20,1.0,18,5.0,0.0,5.0,470,584.0,2013.0,Southern,20.0,859.0,0.0,15.0,259.0,2013.0,south,$400 ,$100 ,$0 ,$0 ,"$7,250 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,800 ",$100 ,2013.0,south,$300 ,"$8,050 ","$4,300 ",$0 ,$0 ,$0 ,$0 ,2013.0,south,Madera_2013
Mariposa,0.0,1.0,7.0,2.0,3.0,0.0,5.0,0.0,0.0,4.0,13.0,3.0,2013.0,south,16.0,19.0,3.0,0.0,0.0,0.0,0.0,2013.0,south,0.0,0.0,17.0,1,15,0.0,5,0.0,0.0,3.0,87,4.0,2013.0,Southern,1.0,105.0,1.0,0.0,25.0,2013.0,south,$0 ,$0 ,$0 ,$0 ,$300 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$100 ,2013.0,south,$0 ,$400 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,south,Mariposa_2013
Mendocino,12.0,7.0,29.0,24.0,9.0,10.0,6.0,5.0,1.0,1.0,37.0,7.0,2013.0,north,78.0,64.0,3.0,2.0,1.0,0.0,0.0,2013.0,north,18.0,2.0,331.0,215,24,4.0,7,7.0,1.0,0.0,82,5.0,2013.0,Northern,2.0,274.0,312.0,0.0,108.0,2013.0,north,$0 ,$0 ,"$10,200 ","$6,002 ",$550 ,$2 ,$0 ,$6 ,$0 ,$0 ,"$281,952 ","$16,200 ",2013.0,north,"$32,554 ","$277,358 ","$5,000 ",$0 ,$0 ,$0 ,$0 ,2013.0,north,Mendocino_2013
Merced,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,2013.0,south,4.0,12.0,3.0,1.0,0.0,0.0,0.0,2013.0,south,124.0,0.0,1.0,8,1,0.0,0,0.0,0.0,122.0,30,0.0,2013.0,Southern,0.0,160.0,0.0,0.0,126.0,2013.0,south,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,south,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,south,Merced_2013
Modoc,0.0,0.0,1.0,0.0,0.0,15.0,0.0,1.0,1.0,0.0,3.0,3.0,2013.0,north,7.0,12.0,4.0,0.0,1.0,0.0,0.0,2013.0,north,0.0,0.0,2.0,0,0,583.0,0,1.0,1.0,0.0,4,38.0,2013.0,Northern,4.0,98.0,10.0,0.0,517.0,2013.0,north,$0 ,$0 ,$32 ,$0 ,$0 ,"$25,009 ",$0 ,"$1,000 ",$0 ,$0 ,"$3,250 ",$760 ,2013.0,north,$210 ,"$21,281 ","$8,560 ",$0 ,$0 ,$0 ,$0 ,2013.0,north,Modoc_2013
Monterey,2.0,5.0,14.0,9.0,3.0,0.0,7.0,0.0,0.0,5.0,9.0,16.0,2013.0,south,33.0,34.0,2.0,1.0,0.0,0.0,0.0,2013.0,south,2.0,1.0,12.0,10,6,0.0,31,0.0,0.0,2.0,3,135.0,2013.0,Southern,10.0,177.0,6.0,0.0,9.0,2013.0,south,$0 ,$2 ,$50 ,"$2,000 ",$40 ,$0 ,"$1,001 ",$0 ,$0 ,$1 ,$0 ,$781 ,2013.0,south,$3 ,"$2,492 ","$1,275 ",$105 ,$0 ,$0 ,$0 ,2013.0,south,Monterey_2013
Napa,0.0,2.0,1.0,7.0,6.0,0.0,8.0,2.0,0.0,0.0,17.0,7.0,2013.0,north,26.0,20.0,3.0,0.0,1.0,0.0,0.0,2013.0,north,0.0,0.0,1.0,14,5,0.0,6,12.0,0.0,0.0,407,2.0,2013.0,Northern,29.0,412.0,3.0,0.0,3.0,2013.0,north,$0 ,$100 ,$0 ,"$34,000 ",$0 ,$0 ,"$2,600 ",$0 ,$0 ,$0 ,"$54,040 ","$12,022 ",2013.0,north,"$5,120 ","$89,642 ","$6,000 ",$0 ,"$2,000 ",$0 ,$0 ,2013.0,north,Napa_2013
Nevada,1.0,6.0,43.0,11.0,7.0,7.0,10.0,4.0,0.0,3.0,29.0,4.0,2013.0,north,79.0,44.0,2.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,12.0,22.0,4,8,2.0,3,1.0,0.0,11.0,67,1.0,2013.0,Northern,8.0,31.0,12.0,10.0,70.0,2013.0,north,$0 ,$0 ,"$2,606 ","$13,000 ","$2,530 ",$0 ,$0 ,$30 ,$0 ,"$2,000 ","$300,002 ","$12,400 ",2013.0,north,"$12,938 ","$17,630 ","$302,000 ",$0 ,$0 ,$0 ,$0 ,2013.0,north,Nevada_2013
Nevada-Yuba-Placer,7.0,10.0,80.0,32.0,35.0,10.0,26.0,5.0,1.0,5.0,92.0,19.0,2013.0,north,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nevada-Yuba-Placer_2013
Placer,4.0,4.0,24.0,15.0,19.0,3.0,12.0,1.0,1.0,1.0,47.0,12.0,2013.0,north,73.0,66.0,4.0,0.0,0.0,0.0,0.0,2013.0,north,3.0,3.0,27.0,7,30,2.0,22,0.0,19.0,0.0,59,3.0,2013.0,Northern,6.0,73.0,7.0,2.0,87.0,2013.0,north,$0 ,$0 ,"$2,650 ","$1,000 ","$4,501 ",$0 ,"$1,000 ",$0 ,$0 ,$0 ,"$53,800 ","$7,000 ",2013.0,north,"$8,600 ","$41,351 ","$20,000 ",$0 ,$0 ,$0 ,$0 ,2013.0,north,Placer_2013
Plumas,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,3.0,2013.0,north,10.0,2.0,0.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,2.0,2013.0,Northern,0.0,0.0,1.0,0.0,1.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$1 ,$2 ,"$1,020 ",$0 ,$0 ,$0 ,$0 ,$251 ,2013.0,north,"$1,024 ",$250 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Plumas_2013
Riverside,3.0,6.0,11.0,10.0,8.0,2.0,44.0,6.0,0.0,3.0,68.0,63.0,2013.0,south,148.0,59.0,9.0,5.0,1.0,0.0,2.0,2013.0,south,5.0,4.0,14.0,"27,677",7,3.0,184,43.0,0.0,1.0,"21,473",49.0,2013.0,Southern,20509.0,685.0,2.0,0.0,28264.0,2013.0,south,$0 ,$0 ,"$2,000 ","$1,138,100 ","$11,200 ",$0 ,"$404,448 ",$0 ,$0 ,$0 ,"$3,188,148 ","$3,234,450 ",2013.0,south,"$3,638,498 ","$11,700 ","$104,700 ",$0 ,$0 ,$0 ,"$4,223,448 ",2013.0,south,Riverside_2013
Sacramento,1.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2013.0,north,3.0,13.0,1.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,2.0,7,11,0.0,0,0.0,0.0,0.0,58,5.0,2013.0,Northern,0.0,55.0,0.0,0.0,28.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$2 ,$0 ,2013.0,north,$0 ,$2 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Sacramento_2013
San Benito,1.0,1.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,3.0,4.0,2013.0,south,8.0,9.0,1.0,0.0,1.0,0.0,0.0,2013.0,south,1.0,0.0,3.0,0,354,0.0,7,0.0,0.0,0.0,1,100.0,2013.0,Southern,0.0,462.0,1.0,0.0,3.0,2013.0,south,$0 ,$0 ,"$5,000 ",$0 ,"$8,000 ",$0 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,"$8,600 ",2013.0,south,$0 ,"$14,600 ",$0 ,$0 ,"$8,000 ",$0 ,$0 ,2013.0,south,San Benito_2013
San Bernardino,8.0,5.0,21.0,2.0,5.0,6.0,17.0,5.0,2.0,4.0,21.0,8.0,2013.0,south,74.0,27.0,2.0,0.0,1.0,0.0,0.0,2013.0,south,539.0,2.0,4.0,1,13,12.0,4,1.0,3.0,2.0,82,3.0,2013.0,Southern,22.0,635.0,0.0,0.0,9.0,2013.0,south,$0 ,$0 ,$0 ,$0 ,"$5,000 ",$300 ,"$2,000 ",$0 ,$25 ,$0 ,$1 ,$0 ,2013.0,south,"$7,301 ",$25 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,south,San Bernardino_2013
San Diego,11.0,7.0,7.0,10.0,27.0,1.0,27.0,3.0,0.0,2.0,86.0,16.0,2013.0,south,99.0,75.0,15.0,5.0,0.0,2.0,1.0,2013.0,south,5.0,6.0,5.0,16,215,12.0,49,1.0,0.0,5.0,"12,847",158.0,2013.0,Southern,7215.0,5755.0,6.0,4.0,339.0,2013.0,south,$0 ,"$1,300 ",$0 ,"$1,500 ","$70,200 ",$0 ,$2 ,$1 ,$0 ,$0 ,"$202,154 ","$2,800 ",2013.0,south,"$103,953 ","$171,800 ","$2,202 ",$0 ,$0 ,$0 ,$2 ,2013.0,south,San Diego_2013
San Joaquin,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2013.0,north,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2013.0,north,1.0,0.0,1.0,0,64,0.0,0,0.0,0.0,0.0,1,0.0,2013.0,Northern,0.0,2.0,0.0,0.0,65.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$1 ,$0 ,2013.0,north,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,San Joaquin_2013
San Luis Obispo,0.0,5.0,5.0,13.0,12.0,0.0,30.0,2.0,0.0,2.0,37.0,16.0,2013.0,south,63.0,54.0,5.0,0.0,0.0,0.0,0.0,2013.0,south,0.0,5.0,9.0,117,61,0.0,26,0.0,0.0,8.0,161,20.0,2013.0,Southern,54.0,321.0,0.0,8.0,24.0,2013.0,south,$0 ,$0 ,$0 ,"$11,300 ","$1,550 ",$0 ,"$1,100 ",$0 ,$0 ,$0 ,"$7,600 ","$19,500 ",2013.0,south,"$17,200 ","$20,250 ","$3,600 ",$0 ,$0 ,$0 ,$0 ,2013.0,south,San Luis Obispo_2013
San Mateo,1.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,2013.0,north,9.0,10.0,0.0,0.0,0.0,0.0,0.0,2013.0,north,1.0,0.0,0.0,2,1,0.0,0,0.0,0.0,0.0,4,5.0,2013.0,Northern,0.0,6.0,2.0,0.0,5.0,2013.0,north,$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$15 ,"$1,000 ",2013.0,north,$215 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,San Mateo_2013
San Mateo-Santa Cruz,12.0,12.0,9.0,11.0,5.0,1.0,10.0,4.0,1.0,4.0,29.0,10.0,2013.0,north,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Mateo-Santa Cruz_2013
Santa Clara,0.0,1.0,1.0,4.0,4.0,0.0,5.0,2.0,0.0,0.0,17.0,4.0,2013.0,north,15.0,20.0,2.0,1.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,1.0,101,3,0.0,13,0.0,0.0,0.0,18,12.0,2013.0,Northern,0.0,129.0,1.0,0.0,18.0,2013.0,north,$0 ,$0 ,"$10,000 ","$2,000 ",$0 ,$0 ,"$1,200 ",$0 ,$0 ,$0 ,$360 ,$0 ,2013.0,north,$100 ,"$10,360 ","$1,100 ","$2,000 ",$0 ,$0 ,$0 ,2013.0,north,Santa Clara_2013
Santa Cruz,11.0,11.0,9.0,7.0,4.0,0.0,10.0,4.0,1.0,4.0,21.0,7.0,2013.0,north,68.0,20.0,1.0,0.0,0.0,0.0,0.0,2013.0,north,21.0,3.0,2.0,2,0,0.0,5,1.0,0.0,1.0,9,1.0,2013.0,Northern,4.0,6.0,11.0,0.0,24.0,2013.0,north,$0 ,$2 ,$1 ,$0 ,$400 ,$0 ,$800 ,$0 ,$0 ,$5 ,"$741,300 ","$7,010 ",2013.0,north,"$6,508 ","$743,010 ",$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Santa Cruz_2013
Shasta,41.0,3.0,38.0,14.0,11.0,13.0,22.0,6.0,0.0,4.0,45.0,23.0,2013.0,north,80.0,130.0,8.0,1.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,0.0,0.0,1.0,0.0,0.0,2013.0,north,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013.0,north,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Shasta_2013
Shasta,41.0,3.0,38.0,14.0,11.0,13.0,22.0,6.0,0.0,4.0,45.0,23.0,2013.0,north,80.0,130.0,8.0,1.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,0.0,0.0,1.0,0.0,0.0,2013.0,north,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013.0,north,"$47,600 ","$55,102 ","$95,000 ",$0 ,$0 ,$0 ,"$5,304,191 ",2013.0,north,Shasta_2013
Shasta,41.0,3.0,38.0,14.0,11.0,13.0,22.0,6.0,0.0,4.0,45.0,23.0,2013.0,north,80.0,130.0,8.0,1.0,0.0,0.0,1.0,2013.0,north,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0,0.0,2013.0,Northern,0.0,0.0,1.0,0.0,0.0,2013.0,north,"$23,501 ",$0 ,"$43,001 ","$15,600 ","$5,000 ",$0 ,"$1,200 ",$0 ,$0 ,$600 ,"$5,407,791 ","$5,200 ",2013.0,north,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Shasta_2013
